author_name,author_id,citations,paper_count,h_index,institution
yunfan wu,2144364879,54,9,3,
e. daskalaki,37927265,380,37,12,
yu-gang jiang,1717861,16983,295,63,
jingjing chen,2108536365,1628,74,20,
ran cui,8159002,163,15,9,
xiao-wei guo,152978186,752,58,13,
huyang sun,52177693,101,6,5,
tianwen qian,2162961341,53,5,3,
pai peng,2072677192,216,21,7,
xiting wang,2108045320,2161,60,23,
tao qi,50329599,1824,202,21,
fangzhao wu,2397264,4515,172,37,
xing xie,2149195520,166,30,8,
chuhan wu,15161448,2918,125,29,
yongfeng huang,2145525387,158,29,7,
li li,2156056653,58,16,5,
riwei lai,2006853842,20,7,2,
rui chen,2118230159,85,7,4,
hongtao song,2122383575,56,14,4,
chi zhang,2117835555,22,13,3,
qilong han,2067612513,61,27,5,
mozhdeh ariannezhad,3429661,75,18,5,
ming li,2150654536,241,11,5,
sebastian schelter,2180399,2214,98,23,
min fang,2147389573,32,4,3,
sami jullien,2130153188,44,10,4,
yu rong,48537464,4302,94,26,
junzhou huang,1768190,17903,404,65,
da luo,2061548356,142,12,6,
kangyi lin,2151795425,27,8,4,
tingyang xu,1754673,3421,92,25,
s. ananiadou,1881965,16259,561,60,
erxue min,19262845,621,17,9,
p. zhao,144259957,9312,237,50,
yatao bian,2419616,1360,69,16,
haoran yang,2115538342,53,12,4,
wei wang,2158628501,38,4,3,
chuangbai xiao,2863393,802,94,14,
siyun wang,2116422966,14,7,3,
pijian li,2109069108,188,16,7,
chengshi xu,2153076594,44,11,3,
tong xu,41157498,980,52,16,
hui xiong,2093122576,1610,99,21,
haoran xin,2057309402,59,7,3,
xinjiang lu,48574631,190,27,8,
n. zhu,3461677,110,22,6,
yunchang zhu,1713616829,39,4,3,
yanyan lan,37510256,6214,160,33,
liang pang,2111815778,24,16,3,
xueqi cheng,1717004,15739,558,63,
rui fan,2175280985,2,5,1,
jin zhang,2117170420,10,5,2,
jin chen,2108459889,75,17,5,
ali vardasbi,3096714,142,26,6,
andrés ferraro,90139756,459,35,10,
fernando diaz,145472333,7819,143,44,
huifeng guo,3339005,3038,66,18,
enming yuan,1601384914,234,6,4,
chengkai liu,2175305201,12,1,1,
wei guo,2109155646,1172,386,16,
zhicheng he,2175453540,29,8,3,
fujia zheng,2146483739,40,6,4,
keqing he,2058349088,280,40,11,
ruotong geng,2175276597,1,4,1,
weihao zeng,2069640466,32,9,3,
wei wu,2118974140,64,16,5,
lulu zhao,2144042552,97,13,6,
weiran xu,1753096,1992,190,20,
huixing jiang,2309680,184,59,8,
lei jiang,2112654557,18,13,3,
jiahao cao,2115872285,8,6,2,
nannan sun,2056680201,374,6,4,
r. liu,144207288,29073,2939,72,
haoyu pang,9228281,14,11,2,
xuefeng yang,2145180644,4,3,2,
jialin tian,2087131827,51,7,4,
kai wang,2175316115,7,4,2,
fumin shen,144618699,9014,247,49,
xing xu,47158869,4050,155,31,
zuo cao,2117448524,37,12,4,
heng tao shen,1724393,42115,428,73,
shuchang liu,50152132,431,26,11,
zuohui fu,2011378,1307,49,18,
yinglong xia,35846319,1164,104,19,
juntao tan,2110449137,339,27,11,
yingqiang ge,152988336,1179,43,18,
shijie geng,1947101,1520,59,18,
jiebo luo,2116783457,156,45,7,
yangchun zhu,2153095583,69,5,3,
yongfeng zhang,2145038716,103,17,7,
zelong li,2109968285,106,12,7,
xiaorui liu,2124928119,101,18,5,
jiliang tang,1736632,22848,314,75,
wenqi fan,41031455,1829,46,13,
xiangyu zhao,2116710405,99,18,5,
wei jin,144767914,1489,47,16,
qing li,2117897052,429,25,11,
jianchao ji,2111810606,83,18,5,
amifa raj,1920784888,39,9,3,
michael d. ekstrand,2386667,2740,96,25,
a. d. vries,144509504,7521,308,42,
e. gerritse,35903921,76,9,4,
faegheh hasibi,1951737,651,38,13,
nicolas usunier,1746841,19305,121,42,
virginie do,2086828576,153,10,6,
maodi hu,1961492,539,27,9,
tao li,50289773,7706,521,40,
chuan shi,2086996232,45,19,3,
tianchi yang,2800519,393,23,6,
huaijun liu,2145489420,48,5,3,
cheng yang,2154170623,245,38,8,
dong wang,2152692071,68,9,3,
luhao zhang,2156145866,128,14,5,
miriam l. boon,31805906,33,13,4,
sebastian gomes,32193590,34,4,3,
o. hoeber,1679276,1251,94,18,
s. saha,145470045,6448,586,34,
krishanu maity,144960451,97,23,6,
prince jha,2165947844,13,6,2,
p. bhattacharyya,145532184,10064,865,47,
yiling jia,41035519,243,13,6,
hongning wang,2108883660,218,47,8,
christian j. walder,3093246,477,59,12,
lexing xie,33650938,7757,184,40,
yuli liu,46400021,79,10,4,
yasin n. silva,2217032,1066,67,20,
huan liu,2146398099,187,29,6,
deborah l. hall,6944261,920,42,13,
ahmadreza mosallanezhad,1380253791,156,18,5,
lu cheng,144842921,694,45,13,
m. parra-rodriguez,1429103655,105,12,3,
yashar moshfeghi,2678472,1238,91,18,
dominika michalkova,2175274808,3,3,1,
j. allan,121300608,2218,66,19,
puxuan yu,51029950,89,8,5,
razieh rahimi,38543401,176,29,7,
dongwon lee,2150817685,17,9,3,
limeng cui,3122003,1802,49,16,
mohammadmehdi naghiaei,2156583314,74,8,4,
yashar deldjoo,2614755,1741,107,22,
hossein a. rahmani,2065968996,255,23,10,
j. renders,2822140,3434,158,20,
till kletti,2088932557,17,3,2,
p. loiseau,143710789,1351,111,19,
y. rao,1492126621,438,52,11,
ambreen nazir,51293593,279,17,9,
xunliang cai,2111683220,40,12,4,
jinhua gao,3223390,400,32,10,
yan jiang,2117865398,18,7,3,
yixing fan,7888704,1864,57,16,
xinyu ma,121875983,209,9,6,
ruqing zhang,2109960367,556,47,12,
j. guo,1777025,7508,187,43,
le-ping sun,1918367,853,55,16,
ying zhou,2118861530,2,3,1,
ben he,2046814249,568,33,10,
zheng ye,145303604,451,31,11,
xuanang chen,49794910,44,10,4,
kushal lakhotia,1410624139,2140,17,12,
bhargavi paranjape,8005713,679,16,9,
s. yih,3156075,860,29,12,
asish ghoshal,2730123,382,43,10,
srini iyer,1900163,3232,57,26,
yashar mehdad,2121361882,214,17,8,
tai-wei chang,48861902,42,4,3,
chao-hui yu,2148890704,32,2,1,
wang hao,2144221741,49,9,4,
zhichao chen,2162399554,32,3,1,
jia-bin huang,3068086,14515,120,40,
wei chu,48980295,5504,25,18,
tianqiao liu,2115347033,124,9,6,
ruopeng li,2162105882,43,7,3,
zerui cai,2152132786,36,8,2,
zefeng cai,2113442256,21,12,3,
lucie flek,2125481734,84,27,5,
shivam agarwal,1923351,203,27,7,
nikolaos aletras,3238627,2851,84,23,
preslav nakov,2026545715,1092,77,18,
a. neerkaje,2157860264,20,10,3,
